Date,AAPL,AGG,AKBNK.IS,AMZN,ARCLK.IS,ASELS.IS,BA,BIMAS.IS,BNB-USD,BTC-USD,CAT,CVX,DIS,DOAS.IS,EEM,EFA,ENJSA.IS,ENKAI.IS,EREGL.IS,ETH-USD,FROTO.IS,GARAN.IS,GC=F,GLD,GOOGL,GUBRF.IS,HALKB.IS,ISCTR.IS,JNJ,JPM,KCHOL.IS,KO,LLY,LOGO.IS,MA,META,MGROS.IS,MSFT,NVDA,PDBC,PETKM.IS,PG,PGSUS.IS,QQQ,SAHOL.IS,SASA.IS,SISE.IS,SLV,SOL-USD,SPY,TAVHL.IS,TCELL.IS,THYAO.IS,TLT,TOASO.IS,TUPRS.IS,UNH,V,VAKBN.IS,VNQ,WMT,XLE,XLK,XOM,XRP-USD,YKBNK.IS
2021-07-18,,,,,,,,,302.4804992675781,31796.810546875,,,,,,,,,,1895.5521240234375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.751909255981445,,,,,,,,,,,,,,,,0.5879219770431519,
2021-07-19,138.8533935546875,99.36820220947266,4.117059230804443,177.47950744628906,30.928524017333984,7.092721939086914,206.99000549316406,26.792219161987305,280.01861572265625,30817.83203125,186.6911163330078,78.16134643554688,167.6859588623047,13.91698169708252,46.84702682495117,65.6947021484375,7.496091842651367,6.980282306671143,7.589953422546387,1817.296630859375,12.651238441467285,6.670773029327393,1808.699951171875,169.61000061035156,123.48304748535156,48.7400016784668,4.710000038146973,0.7593533992767334,144.98599243164062,129.68727111816406,16.72545051574707,48.06758117675781,223.34988403320312,32.06898880004883,354.7992248535156,334.0168151855469,31.619264602661133,265.8456115722656,18.715015411376953,9.661833763122559,5.300000190734863,123.65484619140625,14.434488296508789,344.2034606933594,7.548823356628418,0.8023219704627991,6.865274429321289,23.290000915527344,24.44757652282715,397.1899719238281,23.559999465942383,12.832098960876465,12.435735702514648,127.65176391601562,21.84561538696289,8.636247634887695,374.7016296386719,231.58706665039062,3.4700000286102295,85.31468200683594,44.16591262817383,19.5739803314209,71.38458251953125,46.0549201965332,0.5575559735298157,1.948846459388733
2021-07-20,142.4600067138672,99.27438354492188,,178.6595001220703,,,217.14999389648438,,264.7823791503906,29807.34765625,191.17727661132812,78.62562561035156,171.37030029296875,,46.99818420410156,66.17308807373047,,,,1787.5107421875,,,1810.9000244140625,169.38999938964844,125.1002197265625,,,,146.34999084472656,132.10507202148438,,48.15382766723633,224.18936157226562,,363.47869873046875,338.6858215332031,,268.0625,18.547842025756836,9.788496971130371,,122.9944839477539,,348.2018737792969,,,,23.139999389648438,23.48955535888672,402.8818664550781,,,,126.42127227783203,,,378.28314208984375,233.7930145263672,,87.32810974121094,44.36605453491211,19.836580276489258,72.44404602050781,46.5624885559082,0.5293359756469727,
2021-07-21,141.72894287109375,98.95030975341797,,179.25999450683594,,,222.5399932861328,,292.5313720703125,32110.693359375,193.7237091064453,81.30540466308594,171.5060272216797,,47.300472259521484,67.18115234375,,,,1990.9708251953125,,,1802.9000244140625,168.75999450683594,126.42794036865234,,,,147.25355529785156,134.8846435546875,,48.774845123291016,226.35476684570312,,368.9835205078125,343.216064453125,,270.0586853027344,19.343097686767578,10.011422157287598,,122.56307220458984,,350.8901062011719,,,,23.420000076293945,26.623079299926758,406.143798828125,,,,124.81991577148438,,,379.81292724609375,234.7177734375,,87.31985473632812,44.14714431762695,20.528505325317383,73.1423568725586,48.06020736694336,0.569998025894165,
2021-07-22,143.09356689453125,99.18057250976562,,181.90150451660156,,,220.8699951171875,,293.6411437988281,32313.10546875,192.28042602539062,80.49089050292969,169.7996063232422,,47.38938522338867,67.20677947998047,,,,2025.2027587890625,,,1805.0,169.08999633789062,127.29277038574219,,,,147.6792449951172,133.1815948486328,,48.705841064453125,227.49942016601562,,371.0221862792969,348.1328430175781,,274.6076354980469,19.526460647583008,10.102622032165527,,122.093505859375,,353.2096252441406,,,,23.559999465942383,27.70208168029785,406.9942626953125,,,,125.9998550415039,,,380.847900390625,235.18019104003906,,86.62670135498047,44.17841720581055,20.299251556396484,73.68170166015625,47.519371032714844,0.5922060012817383,
2021-07-23,144.8091278076172,99.11234283447266,,182.83200073242188,,,221.52000427246094,,299.2829895019531,33581.55078125,192.62057495117188,80.52345275878906,170.77886962890625,,46.68699645996094,67.67664337158203,,,,2124.776611328125,,,1801.4000244140625,168.55999755859375,131.84588623046875,,,,149.25180053710938,132.9257354736328,,49.17159652709961,232.8985595703125,,381.79876708984375,366.5708923339844,,277.9953918457031,19.490583419799805,10.13301944732666,,123.85665893554688,,357.33416748046875,,,,23.350000381469727,28.513879776000977,411.18145751953125,,,,125.15703582763672,,,382.6158142089844,239.88107299804688,,87.34459686279297,44.541175842285156,20.224227905273438,74.41372680664062,47.461124420166016,0.6092240214347839,
2021-07-24,,,,,,,,,302.0718688964844,34292.4453125,,,,,,,,,,2189.21875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.702619552612305,,,,,,,,,,,,,,,,0.6098269820213318,
2021-07-25,,,,,,,,,302.4361572265625,35350.1875,,,,,,,,,,2191.373779296875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.168773651123047,,,,,,,,,,,,,,,,0.6063569784164429,
2021-07-26,145.22828674316406,99.02703094482422,4.0931220054626465,184.99099731445312,30.758378982543945,7.146677494049072,225.85000610351562,26.967615127563477,304.4782409667969,37337.53515625,193.99954223632812,82.22578430175781,173.2997283935547,14.280609130859375,45.797882080078125,67.7706298828125,7.511221885681152,7.088865280151367,7.640780448913574,2233.36669921875,12.599114418029785,6.573977947235107,1798.699951171875,168.16000366210938,132.85693359375,48.68000030517578,4.599999904632568,0.7534094452857971,149.3212890625,133.81692504882812,16.674589157104492,49.2147102355957,232.0019073486328,31.73053550720215,381.3521423339844,369.2176818847656,31.506738662719727,277.40032958984375,19.22749137878418,10.219149589538574,5.420000076293945,124.29080963134766,13.912759780883789,357.6156311035156,7.616074562072754,0.7964190244674683,6.8744893074035645,23.360000610351562,28.306642532348633,412.1908264160156,22.200000762939453,12.781611442565918,12.025444984436035,124.78619384765625,22.494068145751953,8.475125312805176,378.8052978515625,241.06594848632812,3.430000066757202,87.38587188720703,44.60371780395508,20.724416732788086,74.37519836425781,48.65929412841797,0.6256179809570312,1.940260887145996
2021-07-27,143.0643768310547,99.25729370117188,4.101101398468018,181.3195037841797,30.815092086791992,7.239874362945557,222.27000427246094,27.07724380493164,313.60260009765625,39406.94140625,192.9607391357422,81.9488754272461,174.03659057617188,14.104301452636719,44.87321472167969,67.49723815917969,7.617117881774902,7.24398136138916,7.8271403312683105,2298.33349609375,12.606560707092285,6.614308834075928,1799.5,168.44000244140625,130.74069213867188,49.79999923706055,4.570000171661377,0.7623253464698792,150.00762939453125,133.64044189453125,16.75935935974121,49.38722229003906,232.35484313964844,31.561304092407227,378.8958435058594,364.6081848144531,31.375463485717773,274.9914855957031,19.14179039001465,10.178618431091309,5.579999923706055,124.79583740234375,14.6083984375,353.6754150390625,7.809418201446533,0.7926620244979858,6.902133941650391,22.959999084472656,28.065326690673828,410.3121643066406,22.81999969482422,12.832098960876465,12.259897232055664,126.11781311035156,22.940776824951172,8.5027437210083,380.2342529296875,241.72096252441406,3.4200000762939453,87.88096618652344,44.60685729980469,20.532678604125977,73.67208099365234,48.11845397949219,0.6446040272712708,1.948846459388733
